,ra,dec
873,149.7934500142,2.2321748975
876,149.838489959,2.3005985951
877,149.846729955,2.1480025767
907,149.9619800014,2.0026796138
913,150.1100700134,1.926235093
915,150.1114400026,1.9597002139
916,150.1123999996,2.009263298
917,149.8226499847,2.0897198121
918,149.7361500068,2.1799538029
919,149.839439985,1.9290662135
920,149.7563099562,2.1173128987
922,149.7624100158,2.1801205125
923,149.7651999737,2.1909999978
924,149.9516799614,2.0137748908
925,149.7807199702,2.1241075844
926,149.9579499962,2.0048541832
927,149.9662999636,2.0327744072
928,149.9887699811,2.0630794047
929,149.7818699887,2.139205888
930,149.9967399611,2.1202125875
931,149.7917499648,2.0860338089
932,149.7425299856,2.0835213989
933,149.793040008,2.1115266897
934,149.7972199882,2.1493458707
935,149.7937700139,2.1032964904
936,149.7983099899,2.0750538948
937,149.8035200088,2.1407722663
938,149.8240100081,1.9780198004
939,149.8377599897,2.0277327983
940,149.8505499842,2.0832721866
941,149.8063400073,2.1454872688
942,149.8741799878,2.0714637946
943,149.8215099991,2.1520535903
944,150.2912199992,2.2910280031
945,149.8279200192,2.1643905827
946,149.536686128,2.0002786933
947,149.596069383,2.22000884955
949,149.618800038,2.22051575814
950,149.624088427,2.18070749877
951,149.620788177,2.18105702344
952,149.638655705,2.18293993235
953,149.643577583,2.0966396791
954,149.638066244,2.1496027296
955,149.663061172,2.15155943747
956,149.6730699832,2.0787593822
957,149.668010614,2.1353406921
958,149.7112499718,2.1452025889
959,149.713160015,2.0409019001
960,149.7209699779,2.1636565067
961,149.7301700154,2.0708546913
962,149.669521554,2.16771393807
963,149.681632964,2.23978257929
964,149.686810133,2.18346478956
966,149.734072484,2.21934613995
971,149.739045395,2.22076293825
972,150.286453242,1.76593267396
977,149.9558199692,2.0281227142
979,149.8544699997,2.1324723035
980,149.9367099964,2.149333979
983,149.8585599819,2.1085713019
986,150.134720961,1.71793130272
988,149.8637400135,2.0588423829
990,149.8673299615,2.1064055132
991,150.1912899749,1.8054636964
992,149.8688899992,2.0950867841
994,149.8766200158,2.1156199106
995,149.93740741,1.73904319173
996,149.944580271,1.74034611514
997,149.8871100186,2.1172897922
998,150.0146199979,1.845572888
1000,150.0310300211,1.8575703955
1001,149.8934399984,2.1077677868
1006,149.89511999,2.047280589
1007,149.8967899572,2.0856893071
1008,149.8979199662,2.0939962892
1009,149.837058239,1.8676121187
1010,149.860828088,1.83323375157
1011,149.9094899785,2.080648391
1012,149.861852976,1.83681920764
1013,149.863517496,1.84140668479
1014,149.866813072,1.747708741
1015,149.881111071,1.88505569099
1016,149.9105000074,2.0680575129
1017,149.8893899768,1.9660288897
1018,149.890681241,1.81838041696
1019,149.897618575,1.76266683948
1020,149.903948205,1.8521098852
1021,149.9107299726,1.899629209
1022,149.912330001,2.0809722116
1023,149.910868189,1.84261965547
1024,149.9133500162,1.8972526077
1025,149.924705867,1.84393741916
1026,149.927340694,1.8497802923
1027,149.9308700003,2.1188374023
1029,150.0729900197,2.003541184
1030,150.0699699591,2.101602302
1031,150.004379963,2.0389779083
1032,149.7219099934,1.9236663968
1034,150.0099199931,2.0534336936
1035,149.744331933,1.81947989242
1036,150.0425500165,2.0633528024
1037,149.7811600099,1.9322615836
1038,149.7877899863,1.9290451136
1039,149.8036150098,2.0151600078
1040,150.0588700003,2.0152376064
1041,149.82988,1.9907
1042,150.0608300061,2.0105747895
1043,150.0755500105,2.0812966989
1044,149.9045300003,1.9215806129
1049,150.0824600204,2.0585467839
1053,149.9951999727,2.0067079074
1054,149.624139229,1.88536079552
1055,149.625948344,1.98126408594
1056,149.628352524,2.07589185517
1057,149.636369787,2.02026661971
1058,149.637695328,1.90686084743
1059,149.9916999912,2.132028108
1060,149.640933468,2.10772558522
1061,149.649885947,1.86586905603
1062,149.6505300206,1.9729183841
1063,149.654064076,1.86165115346
1064,150.1051699645,1.9812317096
1065,149.6643599678,1.9616883031
1066,150.1118399667,1.9775186046
1068,150.142899981,2.0507154059
1069,149.766569399,1.90665548408
1070,150.028418467,2.55220595281
1071,150.1455700046,2.043110796
1072,150.058034758,2.63749864546
1074,150.1043800086,2.5469879871
1075,150.111532634,2.54973472672
1076,150.115242172,2.58226784925
1078,150.12414789,2.51236221803
1079,150.130207951,2.61186692136
1080,150.1337199898,2.4574970778
1082,150.1383999941,2.4666865024
1083,150.138429411,2.52940259196
1084,150.143357673,2.60617006786
1087,150.168185117,2.61569175329
1091,150.230330102,2.55847572343
1093,150.2393699843,1.9302348956
1094,150.0798900132,2.3900454218
1096,150.1536299969,2.3994510151
1101,150.2320899886,2.3954386667
1115,150.3260899774,2.0982655934
1118,150.3523299872,2.0982523064
1122,149.858418319,1.74571209523
1125,149.76589745,2.64843933677
1126,149.772800405,2.63630985845
1127,149.785308031,2.64631628493
1128,149.74180214,2.58536741292
1131,149.96111,2.38763
1147,150.42601158,1.88883364834
1153,149.8681100075,2.3049060865
1154,149.8953799782,2.2395376937
1155,149.7713199655,2.2583947233
1156,149.7790399623,2.2327956813
1157,149.8039599542,2.2881032802
1158,149.8084899675,2.3138577994
1159,149.8169899971,2.2360457888
1160,149.8217099797,2.2547224189
1162,149.8236300146,2.2283064812
1163,149.8339999889,2.3088362108
1164,149.8590399742,2.2582618774
1165,149.8696800073,2.2940643245
1166,149.8919300006,2.2851666889
1167,149.9017399837,2.270788673
1168,149.8129000076,2.3454920717
1169,149.700895691,2.40258931711
1170,149.743925981,2.24984226618
1171,149.7715199635,2.2814151831
1173,149.7897699818,2.3212693231
1174,149.664831869,2.31030864624
1175,149.666780582,2.2865291939
1176,149.674704484,2.27558969144
1177,149.678667289,2.34897495256
1178,149.690728032,2.26402790903
1179,149.691057219,2.33565652006
1180,149.693287387,2.26753255267
1181,149.695851673,2.26463270956
1182,149.706401103,2.27802608708
1184,149.711720755,2.36526565581
1185,149.71426655,2.35547821862
1186,149.7152899723,2.25927258
1187,149.715229098,2.29941785808
1188,149.720753287,2.34909041602
1189,149.730212607,2.25472775071
1190,149.730785033,2.31317950853
1191,149.7375099616,2.2636285237
1192,149.738736536,2.36637081334
1193,149.748985515,2.32424503249
1195,149.761494516,2.31857092708
1196,149.763465123,2.33427423648
1197,149.777605638,2.34858883941
1198,150.0458999694,2.2012579015
1199,149.9779600026,2.2853552717
1200,150.0284300097,2.2100005286
1201,149.9123999938,2.2003755892
1202,149.9387899834,2.1749225312
1203,149.9609999855,2.2185659075
1204,149.9635399563,2.2415130074
1206,149.9936299669,2.2585761876
1207,150.0025700109,2.258663191
1208,150.0044299853,2.2372005078
1209,149.9287499987,2.2980509086
1210,149.868000016,2.3307421308
1211,149.8717199883,2.3428756847
1212,149.8842399726,2.3381385675
1213,150.0551699684,2.1432147214
1214,150.0645299693,2.1910004772
1216,150.0668199875,2.2105180869
1217,150.08497998,2.1539444896
1218,150.0927899814,2.1721091162
1219,150.0958199838,2.1450856249
1220,150.1001500207,2.2000020105
1221,150.1004100002,2.1747135668
1222,150.1009099939,2.1677897324
1223,150.1019800033,2.1055132894
1224,150.1055700098,2.1263092247
1225,150.1089499571,2.1315534239
1227,150.1130300166,2.1650523843
1228,150.0225599575,2.1401563217
1229,149.9691999956,2.304832509
1230,149.9792999923,2.309094888
1231,149.9938599725,2.3014471885
1232,150.0092199808,2.2756031287
1236,150.2018600008,2.1264013773
1247,150.2063199877,2.1206884058
1253,150.506278517,2.05811629752
1255,149.9593099937,2.3563814215
1256,149.9776800095,2.3977393967
1257,149.9197100036,2.3274821679
1259,149.932299984,2.3355578936
1260,149.9454899905,2.3692737218
1261,149.9575199969,2.3957881691
1262,149.8264399734,2.3968317976
1263,149.8481499839,2.3743157088
1264,149.848880009,2.4230582678
1265,149.8503199659,2.3985336071
1266,149.8584499817,2.409299076
1267,149.8707499982,2.4173278683
1268,149.8832600001,2.3467698056
1270,149.9168400167,2.3852259742
1271,149.688635597,2.41177372626
1272,149.698832471,2.44126341414
1273,149.706006018,2.41979016398
1274,149.726464808,2.41934971054
1275,149.730325898,2.45377084568
1276,149.733454741,2.51109947866
1277,149.738507411,2.43391316397
1278,149.750884991,2.4698108552
1279,149.758823267,2.47699233715
1281,149.760599708,2.41991003481
1282,149.761791113,2.43477730781
1283,149.768069038,2.43133938507
1284,149.783591461,2.39070006817
1285,149.786616806,2.37850086109
1286,149.789719845,2.43210190875
1287,149.80911469,2.4801584048
1288,150.0404999962,2.3970890325
1289,149.9699599572,2.3353304798
1290,149.9815599702,2.3150561317
1292,149.9933499728,2.3772303659
1293,150.0041299815,2.3891888061
1294,150.0198400086,2.3491218202
1295,150.0303199849,2.3586942926
1296,150.048710002,2.3221966965
1297,150.0565999873,2.3737725891
1299,150.423308735,2.13303100826
1309,150.467439692,2.19945717215
1320,149.860218379,2.5446359134
1321,149.876368141,2.56862126395
1322,149.882469983,2.5051742166
1323,149.8854700171,2.5106463191
1325,149.8917399783,2.5788785989
1326,149.8994199989,2.5116091292
1327,149.9202000136,2.5142691168
1328,149.9205399726,2.543668478
1329,149.925969975,2.5263965313
1330,149.9447099928,2.4936637812
1331,149.9554799653,2.5021002046
1332,149.9585299649,2.5529124709
1333,149.942680862,2.58140491476
1334,149.777988191,2.56715274506
1336,149.785570752,2.55474399684
1337,149.796393114,2.56433686864
1338,149.796210019,2.55942654479
1339,149.806262488,2.57258774107
1340,149.807963296,2.64572805836
1341,149.809748173,2.60682711022
1342,149.809935892,2.57634503609
1343,149.811533782,2.55797122399
1344,149.815164294,2.54026482987
1345,149.828916105,2.54414471395
1347,149.854647597,2.60696134026
1358,150.4298799716,2.2911999318
1368,149.621671906,2.217259607
1378,149.92554768,2.68422502985
1379,149.936733747,2.68015046429
1381,149.93674438,2.66584070693
1382,149.953465087,2.66023478119
1383,149.974657846,2.67866677318
1384,149.987844934,2.58518657153
1385,149.991774027,2.58994133251
1386,149.992529663,2.68258020369
1387,150.004538712,2.63276868165
1388,150.006601416,2.66948017833
1389,150.008463224,2.70453654174
1390,150.00924167,2.62648667235
1392,150.015478252,2.6658559715
1393,150.030663709,2.67877599017
1394,150.034296272,2.64112209753
1395,150.04236563,2.69487754745
1396,150.045251358,2.68853545674
1397,150.053549715,2.69305171631
1427,150.1250499731,2.4559901077
1428,150.1304199662,2.4392587985
1429,150.1255899929,2.3124918914
1433,150.0329600081,2.4586737095
1436,150.05848753,2.60199093521
1437,150.066542433,2.57017213864
1438,149.890389959,1.9009597896
1439,149.807450048,1.81041663582
1440,149.831848918,1.87846892035
1441,150.0249800178,1.9148208998
1442,149.959607705,1.80161651152
1447,149.792910003,2.125609889
1449,149.649600293,2.20948112806
1450,149.68640669,2.14791046504
1451,149.8853700041,2.1771724092
1452,150.0465299678,2.108247283
1461,149.8121700053,2.2829198683
1462,149.8448699724,2.3065602852
1463,149.8514800082,2.2765393048
1464,149.767640297,2.32615535629
1465,149.9620099842,2.2021039175
1466,149.9697499922,2.1833896673
1467,149.9844900113,2.2357894797
1468,150.0065499704,2.2265103102
1469,150.1043000032,2.1790378008
1471,149.8515099905,2.4268577043
1472,149.9059499757,2.3964745788
